Reaction_SMILES,X91, X92 ,X93, X94 ,X95,X96,X97,X98,X99,X100
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-1.64,1.64,-1.03,-1.45,-0.42,-0.44,0.46,-0.07,-0.43
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.94,-1.82,1.76,-1.12,-1.32,-0.68,-0.5,0.3,0.14,-0.44
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.23,-1.45,1.57,-0.89,-1.32,-0.62,0.16,0.6,0.27,-0.23
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.08,-1.4,1.51,-1.14,-1.41,-0.61,-0.29,0.63,0.09,-0.38
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.96,-1.74,1.58,-0.9,-1.32,-0.47,-0.24,0.45,0.03,-0.35
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.04,-1.54,2.33,-1.01,-1.37,-0.26,-0.68,-0.09,-0.06,-0.48
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.08,-1.28,1.76,-1.27,-1.42,-0.99,-0.11,0.77,0.13,-0.22
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.89,-2.11,1.65,-0.92,-2.07,0.75,-0.28,0.12,0.45,-0.72
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.8,-1.18,1.64,-0.93,-1.5,-0.91,0.26,0.75,0.09,-0.11
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-1.83,1.75,-1.21,-1.3,-0.64,-0.58,0.28,0.11,-0.46
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.58,-1.55,1.71,-1.06,-1.33,-0.66,0.01,0.61,0.34,-0.24
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.21,-1.49,1.64,-1.2,-1.5,-0.57,-0.43,0.63,0.15,-0.37
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-1.73,1.68,-0.95,-1.32,-0.47,-0.23,0.43,0.07,-0.34
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.11,-2.03,2.08,-1.1,-1.44,0.15,-0.84,0,0.17,-0.65
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.46,-1.36,1.92,-1.39,-1.41,-1.03,-0.37,0.75,0.11,-0.18
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.58,-2.31,1.48,-0.87,-2.14,0.88,-0.38,0.19,0.33,-0.96
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.37,-1.27,1.84,-1.05,-1.5,-0.93,0.04,0.72,0.11,0
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-1.37,1.5,-0.79,-1.36,-0.1,-0.13,0.35,-0.08,-0.35
